route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
7A,3deb4186-b7cd-4e38-9ec5-a3fdf52e0157,7a3b77fa-041a-4390-95b5-264f1e1297cf,bcee9585-8175-4234-908d-b8da423a6202,GROVE to Georgian College,0,4d9b7895-1b72-478d-a488-d8c622aba0d3
100,44a51a1e-1453-4359-ae8c-348b0cf039d8,65dd992a-f16a-4584-af5b-1d2db552c6b9,db3414d7-3d13-4595-8456-beb9157f3f7a,Red Express  to Downtown Barrie Terminal,0,ac17029f-4f5a-4113-a7de-dbee5aec9e6d
10,44a51a1e-1453-4359-ae8c-348b0cf039d8,151b3e51-26d8-458f-9fbe-faac0e8834b3,a3bf91dc-b99a-4c7d-a477-713a13e7153f,NORTH LOOP to Downtown Barrie Terminal,0,900c5498-e562-40c7-a6dc-44cc564cadef
8B,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,83c79479-b708-4d46-90c2-25d9ef3fb357,b02a2607-bef0-41ac-b7d5-5debe45ec83c,Crosstown/Essa to Georgian College ,0,7ab214b9-f304-4245-98e2-ce84f0f3ee40
101,dbc9d29d-2ab6-447f-8a8a-dfb1e979ff35,d827137b-f031-4dbf-8531-910db0f2f1da,9170efc9-6722-4a0c-ab51-1c0c0cce06bb,Blue,0,a5fe19f1-ff53-4f96-90ec-a4cdf88a1ca0
2A,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,27915d92-3d2e-454f-8b57-98a97e4649c7,5447afc0-6b5d-4291-bc1a-e51cf8e418e4,DUNLOP to Downtown Barrie Terminal,0,00f3e0ef-9409-438d-83ac-31a71c3b37d9
7A,8f9838c0-bc19-455c-ae8e-5463323587b3,5a3757a6-61af-46b2-b619-e9b80b96d45d,bcee9585-8175-4234-908d-b8da423a6202,GROVE to Georgian College,0,938acd84-021a-4f29-99ca-b312fd060a48
101,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,780a208e-aa6c-4009-a2dd-37f228cbbee9,9170efc9-6722-4a0c-ab51-1c0c0cce06bb,Blue,0,13c43c8d-eec5-4334-bd45-e79681efdcea
11,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,ca09144c-2ede-4227-8808-eec2684f5f3f,98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,NORTH LOOP to Downtown Barrie Terminal,0,e1abc76e-09cc-42c6-89f2-b19d0e2ccb2f
2A,dbc9d29d-2ab6-447f-8a8a-dfb1e979ff35,90050d14-af5d-41c2-835e-e7b0db8a06bd,5447afc0-6b5d-4291-bc1a-e51cf8e418e4,DUNLOP to Downtown Barrie Terminal,0,23ee7ccf-7655-4ab1-b5e1-cf80ca1e3935
8A,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,d7e2aa43-da23-4f58-accd-6c516349bc78,7c643bdc-a36e-4feb-be5b-28168758ceaf,RVH/YONGE to Park Place,1,d47501d2-0baa-4b51-add0-59fe5454e844
12B,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,25b52be5-4aee-4e56-a169-e2537d1bcd99,3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,BARRIE SOUTH GO,0,6a8025ef-96ed-46db-ab1c-a7ebe48da035
2B,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,318903f8-62b2-4e46-aade-bf2474ea35f9,0b207682-7778-4958-a780-fdcbc9e02ba7,PARK PLACE to Park Place,0,00f3e0ef-9409-438d-83ac-31a71c3b37d9
100,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,f1cfa019-a0dd-4361-a0bc-263abe1eeab3,db3414d7-3d13-4595-8456-beb9157f3f7a,Red Express  to Downtown Barrie Terminal,0,2b85f192-e63c-4df9-a45b-6ad0f8eb3af2
